"Id","Description","Justification","RejectionReason","DeliveryMode","SubmittedDate","DateNeeded","Status","Total","UserId"
"133","temp description 2","Temp justification 2",,"In-Person Pickup","03/08/2023","03/19/2023","PENDING","15.48","3092"
"134","temp description 2","Temp justification 2",,"White-Glove","03/07/2023","03/17/2023","PENDING","4.64","57"
"135","temp description 2","Temp justification 3",,"Standard Shipping","03/02/2023","03/19/2023","PENDING","2.87","1106"
"136","Temp description 3","Temp justification 1",,"In-Person Pickup","03/05/2023","03/15/2023","PENDING","9.99","1158"
"137","Temp description 3","Temp justification 3",,"White-Glove","03/05/2023","03/20/2023","PENDING","30.44","463"
"138","Temp description 1","Temp justification 2",,"White-Glove","03/02/2023","03/21/2023","REVIEW","194.9","873"
"139","Temp description 1","Temp justification 2",,"Express Shipping","03/01/2023","03/18/2023","PENDING","31.2","4686"
"140","temp description 2","Temp justification 3","Temp rejection reason 1","Express Shipping","03/04/2023","03/18/2023","REJECTED","21.22","126"
"141","Temp description 1","Temp justification 3",,"Standard Shipping","03/03/2023","03/16/2023","APPROVED","12.12","1094"
"142","temp description 2","Temp justification 2",,"Freight","03/03/2023","03/18/2023","PENDING","1.66","4821"
"143","Temp description 3","Temp justification 3","Temp rejection reason 3","Freight","03/01/2023","03/17/2023","REJECTED","11.11","1706"
"144","temp description 2","Temp justification 1",,"Courier","03/01/2023","03/21/2023","REVIEW","54.18","3766"
"147","temp description 2","Temp justification 3",,"Courier","03/08/2023","03/18/2023","REVIEW","5.76","843"
"149","Temp description 3","Temp justification 2",,"In-Person Pickup","03/07/2023","03/16/2023","PENDING","2.82","3826"
"150","Temp description 1","Temp justification 2",,"Freight","03/02/2023","03/19/2023","APPROVED","2.46","70"
"151","Temp description 3","Temp justification 2",,"Express Shipping","03/02/2023","03/16/2023","PENDING","20.64","4111"
"152","temp description 2","Temp justification 2",,"White-Glove","03/05/2023","03/20/2023","APPROVED","15.7","3314"
"153","Temp description 3","Temp justification 2",,"Express Shipping","03/08/2023","03/17/2023","REVIEW","147.13","3787"
"155","Temp description 1","Temp justification 3",,"White-Glove","03/07/2023","03/16/2023","REVIEW","4.59","719"
"156","Temp description 1","Temp justification 1","Temp rejection reason 3","White-Glove","03/07/2023","03/15/2023","REJECTED","4.62","832"
"157","Temp description 3","Temp justification 2",,"Freight","03/04/2023","03/20/2023","REVIEW","29.1","3316"
"158","Temp description 3","Temp justification 2","Temp rejection reason 1","Digital","03/03/2023","03/19/2023","REJECTED","6.55","2318"
"160","Temp description 3","Temp justification 1",,"White-Glove","03/03/2023","03/18/2023","PENDING","10.71","1972"
"161","Temp description 3","Temp justification 3","Temp rejection reason 2","White-Glove","03/06/2023","03/20/2023","REJECTED","14.83","4153"
"162","Temp description 3","Temp justification 2",,"Courier","03/02/2023","03/19/2023","PENDING","3.32","2403"
"163","Temp description 3","Temp justification 2","Temp rejection reason 3","Digital","03/03/2023","03/16/2023","REJECTED","17.12","4211"
"164","Temp description 1","Temp justification 2",,"Digital","03/05/2023","03/15/2023","APPROVED","18.5","263"
"165","temp description 2","Temp justification 1",,"Express Shipping","03/01/2023","03/20/2023","APPROVED","7.45","1267"
"166","temp description 2","Temp justification 2",,"Freight","03/01/2023","03/16/2023","REVIEW","1.09","4956"
"167","temp description 2","Temp justification 3",,"In-Person Pickup","03/08/2023","03/20/2023","REVIEW","10.19","4558"
"168","Temp description 3","Temp justification 2","Temp rejection reason 3","In-Person Pickup","03/07/2023","03/16/2023","REJECTED","9.56","2982"
"170","temp description 2","Temp justification 2",,"Express Shipping","03/05/2023","03/16/2023","REVIEW","5.34","1181"
"172","temp description 2","Temp justification 2",,"Digital","03/08/2023","03/19/2023","REVIEW","18.22","1647"
"174","Temp description 1","Temp justification 3",,"Courier","03/04/2023","03/16/2023","APPROVED","6.24","3095"
"175","temp description 2","Temp justification 1",,"Express Shipping","03/04/2023","03/19/2023","REVIEW","0.7","185"
"176","Temp description 1","Temp justification 1",,"In-Person Pickup","03/04/2023","03/18/2023","REVIEW","14.95","1851"
"177","Temp description 1","Temp justification 2","Temp rejection reason 3","Standard Shipping","03/05/2023","03/16/2023","REJECTED","20.41","3880"
"178","Temp description 3","Temp justification 3",,"Digital","03/05/2023","03/18/2023","REVIEW","1.37","2625"
"179","temp description 2","Temp justification 1",,"Standard Shipping","03/03/2023","03/21/2023","REVIEW","9.24","4411"
"180","Temp description 1","Temp justification 3","Temp rejection reason 1","Standard Shipping","03/03/2023","03/16/2023","REJECTED","0.97","2139"
"182","Temp description 3","Temp justification 2","Temp rejection reason 2","Digital","03/01/2023","03/20/2023","REJECTED","3","2758"
"183","temp description 2","Temp justification 2",,"Digital","03/04/2023","03/21/2023","PENDING","10.33","3446"
"184","temp description 2","Temp justification 1",,"In-Person Pickup","03/04/2023","03/20/2023","PENDING","21.08","687"
"185","Temp description 3","Temp justification 2",,"White-Glove","03/06/2023","03/17/2023","PENDING","5.48","2690"
"186","Temp description 3","Temp justification 2",,"White-Glove","03/08/2023","03/20/2023","APPROVED","67.15","2445"
"187","Temp description 3","Temp justification 3",,"Standard Shipping","03/04/2023","03/18/2023","APPROVED","0.82","1237"
"188","Temp description 3","Temp justification 3",,"In-Person Pickup","03/05/2023","03/16/2023","APPROVED","10.8","385"
"189","Temp description 3","Temp justification 3",,"In-Person Pickup","03/02/2023","03/20/2023","PENDING","7.26","1704"
"190","temp description 2","Temp justification 2","Temp rejection reason 3","Express Shipping","03/03/2023","03/16/2023","REJECTED","11.59","583"
"191","temp description 2","Temp justification 3",,"Digital","03/03/2023","03/15/2023","APPROVED","0.95","4417"
"192","Temp description 3","Temp justification 1",,"Standard Shipping","03/04/2023","03/15/2023","PENDING","2.56","1380"
"193","Temp description 3","Temp justification 1",,"Digital","03/03/2023","03/20/2023","REVIEW","9.6","4919"
"194","Temp description 3","Temp justification 2","Temp rejection reason 3","Express Shipping","03/01/2023","03/18/2023","REJECTED","17.81","1211"
"195","Temp description 3","Temp justification 3",,"Express Shipping","03/03/2023","03/18/2023","REVIEW","96.69","751"
"196","temp description 2","Temp justification 2",,"In-Person Pickup","03/04/2023","03/21/2023","REVIEW","20.74","3749"
"197","Temp description 3","Temp justification 1",,"Standard Shipping","03/08/2023","03/20/2023","APPROVED","27.79","4696"
"198","Temp description 3","Temp justification 1",,"Digital","03/05/2023","03/16/2023","REVIEW","4.41","3498"
"199","Temp description 3","Temp justification 1",,"Courier","03/08/2023","03/18/2023","PENDING","7.56","2030"
"201","temp description 2","Temp justification 1",,"White-Glove","03/06/2023","03/18/2023","APPROVED","2.19","1536"
"202","Temp description 1","Temp justification 1",,"White-Glove","03/08/2023","03/16/2023","PENDING","1.12","3462"
"203","temp description 2","Temp justification 2","Temp rejection reason 2","Standard Shipping","03/05/2023","03/18/2023","REJECTED","6.91","1877"
"204","Temp description 3","Temp justification 1",,"Standard Shipping","03/08/2023","03/21/2023","APPROVED","9.75","1564"
"206","temp description 2","Temp justification 3",,"White-Glove","03/07/2023","03/19/2023","PENDING","12.55","3645"
"207","Temp description 1","Temp justification 3",,"Express Shipping","03/02/2023","03/19/2023","REVIEW","31.92","712"
"208","Temp description 1","Temp justification 1",,"Express Shipping","03/05/2023","03/15/2023","REVIEW","8.77","4104"
"209","Temp description 3","Temp justification 1",,"Digital","03/07/2023","03/16/2023","REVIEW","9.25","517"
"210","temp description 2","Temp justification 3",,"Freight","03/06/2023","03/21/2023","APPROVED","3.42","1916"
"211","temp description 2","Temp justification 1",,"Express Shipping","03/07/2023","03/18/2023","PENDING","89.1","1569"
"213","Temp description 1","Temp justification 1","Temp rejection reason 3","In-Person Pickup","03/01/2023","03/16/2023","REJECTED","24.47","61"
"214","Temp description 3","Temp justification 1",,"Express Shipping","03/08/2023","03/19/2023","PENDING","21.88","488"
"215","Temp description 1","Temp justification 1",,"White-Glove","03/07/2023","03/16/2023","REVIEW","21.21","3327"
"216","temp description 2","Temp justification 3",,"White-Glove","03/01/2023","03/18/2023","APPROVED","24.92","1066"
"218","temp description 2","Temp justification 2",,"In-Person Pickup","03/08/2023","03/20/2023","APPROVED","33.81","1647"
"219","Temp description 3","Temp justification 1",,"Express Shipping","03/06/2023","03/17/2023","APPROVED","148.37","4543"
"220","Temp description 1","Temp justification 2",,"Courier","03/02/2023","03/15/2023","REVIEW","7.01","466"
"221","Temp description 1","Temp justification 1",,"White-Glove","03/05/2023","03/17/2023","REVIEW","11.24","952"
"222","temp description 2","Temp justification 1",,"Freight","03/04/2023","03/19/2023","APPROVED","6.67","2527"
"223","Temp description 1","Temp justification 1",,"In-Person Pickup","03/06/2023","03/16/2023","REVIEW","36.12","1588"
"224","temp description 2","Temp justification 2",,"Standard Shipping","03/02/2023","03/18/2023","APPROVED","17.9","4518"
"225","temp description 2","Temp justification 2",,"Freight","03/01/2023","03/16/2023","APPROVED","8.11","4672"
"226","Temp description 1","Temp justification 3",,"Freight","03/07/2023","03/16/2023","PENDING","6.47","1158"
"227","Temp description 1","Temp justification 1",,"Courier","03/07/2023","03/21/2023","REVIEW","15.8","1652"
"228","Temp description 3","Temp justification 1",,"Express Shipping","03/04/2023","03/18/2023","PENDING","71.61","1671"
"229","temp description 2","Temp justification 2",,"Digital","03/08/2023","03/19/2023","REVIEW","20.07","3332"
"230","temp description 2","Temp justification 2","Temp rejection reason 2","Freight","03/08/2023","03/17/2023","REJECTED","4.2","2952"
"231","Temp description 1","Temp justification 1","Temp rejection reason 2","In-Person Pickup","03/01/2023","03/16/2023","REJECTED","4.71","2649"
"232","Temp description 1","Temp justification 2",,"In-Person Pickup","03/06/2023","03/21/2023","APPROVED","8","4396"
"235","temp description 2","Temp justification 1","Temp rejection reason 3","Standard Shipping","03/05/2023","03/19/2023","REJECTED","25.51","4735"
"236","Temp description 1","Temp justification 3","Temp rejection reason 2","In-Person Pickup","03/07/2023","03/21/2023","REJECTED","5.71","3670"
"237","temp description 2","Temp justification 3",,"Express Shipping","03/02/2023","03/21/2023","REVIEW","6.24","2365"
"238","Temp description 1","Temp justification 3",,"In-Person Pickup","03/04/2023","03/18/2023","PENDING","3.34","2021"
"239","temp description 2","Temp justification 2","Temp rejection reason 2","White-Glove","03/08/2023","03/19/2023","REJECTED","43.7","2478"
"240","Temp description 3","Temp justification 3",,"Standard Shipping","03/08/2023","03/20/2023","APPROVED","1.78","1625"
"241","Temp description 3","Temp justification 1",,"Standard Shipping","03/06/2023","03/19/2023","APPROVED","15.17","3047"
"242","temp description 2","Temp justification 2",,"White-Glove","03/06/2023","03/19/2023","REVIEW","37.44","2640"
"243","Temp description 3","Temp justification 1",,"Courier","03/04/2023","03/17/2023","APPROVED","7.81","1235"
"245","Temp description 3","Temp justification 1","Temp rejection reason 1","In-Person Pickup","03/02/2023","03/20/2023","REJECTED","11.11","2824"
"246","Temp description 1","Temp justification 2",,"White-Glove","03/03/2023","03/18/2023","APPROVED","15.88","1378"
"247","Temp description 3","Temp justification 3",,"Courier","03/01/2023","03/15/2023","APPROVED","16","3493"
"248","temp description 2","Temp justification 3","Temp rejection reason 1","Freight","03/08/2023","03/19/2023","REJECTED","38.63","4065"
"249","Temp description 1","Temp justification 2","Temp rejection reason 1","Standard Shipping","03/04/2023","03/21/2023","REJECTED","92.56","2328"
"250","Temp description 1","Temp justification 1",,"Courier","03/06/2023","03/21/2023","PENDING","7.55","68"
"251","Temp description 3","Temp justification 1",,"Freight","03/02/2023","03/18/2023","REVIEW","21.7","903"
"252","Temp description 1","Temp justification 3",,"Courier","03/05/2023","03/20/2023","APPROVED","0.74","3435"
"253","Temp description 3","Temp justification 1",,"White-Glove","03/01/2023","03/17/2023","PENDING","0.52","1461"
"254","Temp description 1","Temp justification 1",,"Express Shipping","03/07/2023","03/15/2023","APPROVED","57.4","1764"
"255","Temp description 1","Temp justification 2",,"Courier","03/01/2023","03/20/2023","REVIEW","11.57","4477"
"256","Temp description 1","Temp justification 3",,"Express Shipping","03/02/2023","03/20/2023","APPROVED","47.67","4378"
"257","Temp description 1","Temp justification 2",,"In-Person Pickup","03/05/2023","03/15/2023","PENDING","31.18","259"
"258","Temp description 3","Temp justification 2",,"Express Shipping","03/07/2023","03/15/2023","APPROVED","11.69","3294"
"261","temp description 2","Temp justification 2","Temp rejection reason 1","White-Glove","03/02/2023","03/15/2023","REJECTED","16.39","1716"
"262","Temp description 1","Temp justification 2",,"Freight","03/01/2023","03/18/2023","REVIEW","4.35","1055"
"263","temp description 2","Temp justification 1",,"Express Shipping","03/04/2023","03/20/2023","APPROVED","27.36","3560"
"264","temp description 2","Temp justification 3",,"Digital","03/01/2023","03/15/2023","APPROVED","20.03","4289"
"265","Temp description 1","Temp justification 3",,"In-Person Pickup","03/02/2023","03/19/2023","APPROVED","9.46","60"
"266","Temp description 1","Temp justification 2","Temp rejection reason 3","Courier","03/05/2023","03/21/2023","REJECTED","18.49","1003"
"267","Temp description 3","Temp justification 2",,"White-Glove","03/07/2023","03/17/2023","PENDING","6.08","4950"
"268","Temp description 1","Temp justification 2",,"Freight","03/05/2023","03/15/2023","REVIEW","3.25","1362"
"269","Temp description 3","Temp justification 2",,"Standard Shipping","03/08/2023","03/20/2023","PENDING","127.8","1109"
"270","temp description 2","Temp justification 3",,"Courier","03/02/2023","03/17/2023","PENDING","6.65","2791"
"271","Temp description 3","Temp justification 1",,"Express Shipping","03/02/2023","03/19/2023","PENDING","31.35","1795"
"272","Temp description 1","Temp justification 2",,"White-Glove","03/06/2023","03/17/2023","APPROVED","31.71","1347"
"273","Temp description 1","Temp justification 3",,"Courier","03/06/2023","03/20/2023","APPROVED","15.12","231"
"274","temp description 2","Temp justification 2",,"Digital","03/05/2023","03/21/2023","APPROVED","9.27","3743"
"275","Temp description 1","Temp justification 1",,"Standard Shipping","03/03/2023","03/21/2023","PENDING","7.76","2303"
"277","Temp description 3","Temp justification 3",,"In-Person Pickup","03/06/2023","03/16/2023","APPROVED","0.66","3313"
"278","temp description 2","Temp justification 1",,"Standard Shipping","03/08/2023","03/15/2023","REVIEW","81.62","475"
"279","Temp description 3","Temp justification 2",,"In-Person Pickup","03/01/2023","03/20/2023","REVIEW","13.15","4283"
"280","temp description 2","Temp justification 2",,"Digital","03/02/2023","03/17/2023","APPROVED","22.9","4049"
"281","Temp description 3","Temp justification 2",,"Digital","03/03/2023","03/18/2023","REVIEW","3.34","1657"
"282","temp description 2","Temp justification 1",,"Courier","03/07/2023","03/21/2023","PENDING","15.62","3246"
"284","Temp description 3","Temp justification 3",,"White-Glove","03/01/2023","03/17/2023","PENDING","21.96","2993"
"285","temp description 2","Temp justification 1",,"Freight","03/08/2023","03/15/2023","APPROVED","9.5","1616"
"286","temp description 2","Temp justification 2",,"Express Shipping","03/01/2023","03/21/2023","REVIEW","2.95","3682"
"287","Temp description 3","Temp justification 2",,"In-Person Pickup","03/03/2023","03/20/2023","REVIEW","53.04","1523"
"288","temp description 2","Temp justification 1",,"Courier","03/08/2023","03/20/2023","APPROVED","2.18","1805"
"289","Temp description 3","Temp justification 1","Temp rejection reason 3","Standard Shipping","03/05/2023","03/16/2023","REJECTED","15.28","4202"
"290","Temp description 1","Temp justification 2",,"Standard Shipping","03/01/2023","03/18/2023","APPROVED","0.62","4898"
"291","Temp description 1","Temp justification 1",,"Courier","03/05/2023","03/15/2023","REVIEW","3.21","1239"
"292","temp description 2","Temp justification 3",,"Digital","03/01/2023","03/17/2023","APPROVED","7.92","1606"
"293","temp description 2","Temp justification 2",,"In-Person Pickup","03/03/2023","03/19/2023","PENDING","4.73","4575"
"294","Temp description 1","Temp justification 2",,"Express Shipping","03/03/2023","03/20/2023","REVIEW","14.77","1976"
"295","Temp description 3","Temp justification 3",,"Courier","03/05/2023","03/20/2023","PENDING","1.14","235"
